<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
USDRUB,D,29/10/14,00:00:00,43.1886000
USDRUB,D,30/10/14,00:00:00,41.5900000
USDRUB,D,31/10/14,00:00:00,43.0322000
USDRUB,D,01/11/14,00:00:00,43.0233000
USDRUB,D,03/11/14,00:00:00,43.5873000
USDRUB,D,04/11/14,00:00:00,43.5678000
USDRUB,D,05/11/14,00:00:00,44.9000000
USDRUB,D,06/11/14,00:00:00,46.8320000
USDRUB,D,07/11/14,00:00:00,46.6655000
USDRUB,D,08/11/14,00:00:00,46.7041000
USDRUB,D,10/11/14,00:00:00,45.7775000
USDRUB,D,11/11/14,00:00:00,46.4300000
USDRUB,D,12/11/14,00:00:00,45.8205000
USDRUB,D,13/11/14,00:00:00,46.7193000
USDRUB,D,14/11/14,00:00:00,47.2775000
USDRUB,D,15/11/14,00:00:00,47.2227000
USDRUB,D,16/11/14,00:00:00,47.2650000
USDRUB,D,17/11/14,00:00:00,47.1481000
USDRUB,D,18/11/14,00:00:00,46.8899000
USDRUB,D,19/11/14,00:00:00,46.8125000
USDRUB,D,20/11/14,00:00:00,46.1357000
USDRUB,D,21/11/14,00:00:00,45.6897000
USDRUB,D,22/11/14,00:00:00,45.7616000
USDRUB,D,24/11/14,00:00:00,45.0013000
USDRUB,D,25/11/14,00:00:00,46.2355000
USDRUB,D,26/11/14,00:00:00,47.4200000
USDRUB,D,27/11/14,00:00:00,49.1342000
USDRUB,D,28/11/14,00:00:00,50.4397000
USDRUB,D,29/11/14,00:00:00,50.0231000
USDRUB,D,01/12/14,00:00:00,51.1845000
USDRUB,D,02/12/14,00:00:00,54.1825000
USDRUB,D,03/12/14,00:00:00,53.2877000
USDRUB,D,04/12/14,00:00:00,54.3835000
USDRUB,D,05/12/14,00:00:00,52.7985000
USDRUB,D,06/12/14,00:00:00,52.9720000
USDRUB,D,07/12/14,00:00:00,52.9720000
USDRUB,D,08/12/14,00:00:00,53.7170000
USDRUB,D,09/12/14,00:00:00,54.1125000
USDRUB,D,10/12/14,00:00:00,54.8650000
USDRUB,D,11/12/14,00:00:00,56.5245000
