<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
ICE.BRN,D,09/12/10,00:00:00,90.9700000
ICE.BRN,D,10/12/10,00:00:00,90.7300000
ICE.BRN,D,13/12/10,00:00:00,90.9500000
ICE.BRN,D,14/12/10,00:00:00,91.4800000
ICE.BRN,D,15/12/10,00:00:00,91.9000000
ICE.BRN,D,16/12/10,00:00:00,91.8100000
ICE.BRN,D,17/12/10,00:00:00,91.7500000
ICE.BRN,D,19/12/10,00:00:00,91.9300000
ICE.BRN,D,20/12/10,00:00:00,92.6000000
ICE.BRN,D,21/12/10,00:00:00,93.5000000
ICE.BRN,D,22/12/10,00:00:00,93.8000000
ICE.BRN,D,23/12/10,00:00:00,94.3200000
ICE.BRN,D,24/12/10,00:00:00,93.4600000
ICE.BRN,D,26/12/10,00:00:00,93.5500000
ICE.BRN,D,27/12/10,00:00:00,93.7100000
ICE.BRN,D,28/12/10,00:00:00,94.2100000
ICE.BRN,D,29/12/10,00:00:00,94.0300000
ICE.BRN,D,30/12/10,00:00:00,92.7100000
ICE.BRN,D,31/12/10,00:00:00,94.5900000
ICE.BRN,D,02/01/11,00:00:00,94.5600000
ICE.BRN,D,03/01/11,00:00:00,94.8500000
ICE.BRN,D,05/01/11,00:00:00,95.5400000
ICE.BRN,D,06/01/11,00:00:00,94.4300000
ICE.BRN,D,07/01/11,00:00:00,93.7200000
ICE.BRN,D,09/01/11,00:00:00,94.2500000
ICE.BRN,D,10/01/11,00:00:00,95.6600000
ICE.BRN,D,11/01/11,00:00:00,97.5100000
ICE.BRN,D,12/01/11,00:00:00,98.3300000
ICE.BRN,D,13/01/11,00:00:00,98.4000000
ICE.BRN,D,14/01/11,00:00:00,98.6800000
ICE.BRN,D,16/01/11,00:00:00,98.4200000
ICE.BRN,D,17/01/11,00:00:00,97.6000000
ICE.BRN,D,18/01/11,00:00:00,97.5300000
ICE.BRN,D,19/01/11,00:00:00,97.9500000
ICE.BRN,D,20/01/11,00:00:00,96.4200000
ICE.BRN,D,21/01/11,00:00:00,97.5900000
ICE.BRN,D,23/01/11,00:00:00,97.5500000
ICE.BRN,D,24/01/11,00:00:00,96.5200000
ICE.BRN,D,25/01/11,00:00:00,95.2700000
ICE.BRN,D,26/01/11,00:00:00,98.2000000
ICE.BRN,D,27/01/11,00:00:00,97.1500000
ICE.BRN,D,28/01/11,00:00:00,99.3300000
ICE.BRN,D,30/01/11,00:00:00,99.8100000
ICE.BRN,D,31/01/11,00:00:00,100.5600000
ICE.BRN,D,01/02/11,00:00:00,101.6200000
ICE.BRN,D,02/02/11,00:00:00,102.3500000
ICE.BRN,D,03/02/11,00:00:00,101.7500000
ICE.BRN,D,04/02/11,00:00:00,100.1000000
ICE.BRN,D,06/02/11,00:00:00,100.3500000
ICE.BRN,D,07/02/11,00:00:00,99.2600000
ICE.BRN,D,08/02/11,00:00:00,100.2300000
ICE.BRN,D,09/02/11,00:00:00,102.0200000
ICE.BRN,D,10/02/11,00:00:00,101.7300000
ICE.BRN,D,11/02/11,00:00:00,101.4300000
ICE.BRN,D,13/02/11,00:00:00,101.5500000
ICE.BRN,D,14/02/11,00:00:00,102.9600000
ICE.BRN,D,15/02/11,00:00:00,101.8300000
ICE.BRN,D,16/02/11,00:00:00,104.2900000
ICE.BRN,D,17/02/11,00:00:00,102.9700000
ICE.BRN,D,18/02/11,00:00:00,102.8200000
ICE.BRN,D,20/02/11,00:00:00,103.3500000
ICE.BRN,D,21/02/11,00:00:00,108.0000000
ICE.BRN,D,22/02/11,00:00:00,106.3700000
ICE.BRN,D,23/02/11,00:00:00,112.2100000
ICE.BRN,D,24/02/11,00:00:00,111.2300000
ICE.BRN,D,25/02/11,00:00:00,112.4300000
ICE.BRN,D,27/02/11,00:00:00,113.8800000
ICE.BRN,D,28/02/11,00:00:00,112.1000000
ICE.BRN,D,01/03/11,00:00:00,116.3200000
ICE.BRN,D,02/03/11,00:00:00,116.4800000
ICE.BRN,D,03/03/11,00:00:00,114.5900000
ICE.BRN,D,04/03/11,00:00:00,115.9900000
ICE.BRN,D,06/03/11,00:00:00,116.3500000
ICE.BRN,D,07/03/11,00:00:00,114.7000000
ICE.BRN,D,08/03/11,00:00:00,112.9800000
ICE.BRN,D,09/03/11,00:00:00,115.9900000
ICE.BRN,D,10/03/11,00:00:00,115.1400000
ICE.BRN,D,11/03/11,00:00:00,113.4400000
ICE.BRN,D,14/03/11,00:00:00,113.8600000
ICE.BRN,D,15/03/11,00:00:00,108.1900000
ICE.BRN,D,16/03/11,00:00:00,110.4000000
ICE.BRN,D,17/03/11,00:00:00,115.0000000
ICE.BRN,D,18/03/11,00:00:00,114.4900000
ICE.BRN,D,20/03/11,00:00:00,115.6500000
ICE.BRN,D,21/03/11,00:00:00,114.6000000
ICE.BRN,D,22/03/11,00:00:00,116.0900000
ICE.BRN,D,23/03/11,00:00:00,115.2700000
ICE.BRN,D,24/03/11,00:00:00,115.7500000
ICE.BRN,D,25/03/11,00:00:00,116.0200000
ICE.BRN,D,27/03/11,00:00:00,115.6600000
ICE.BRN,D,28/03/11,00:00:00,114.7600000
ICE.BRN,D,29/03/11,00:00:00,115.0900000
ICE.BRN,D,30/03/11,00:00:00,115.1200000
ICE.BRN,D,31/03/11,00:00:00,117.1700000
ICE.BRN,D,01/04/11,00:00:00,119.1000000
ICE.BRN,D,04/04/11,00:00:00,120.8600000
ICE.BRN,D,05/04/11,00:00:00,121.6000000
ICE.BRN,D,06/04/11,00:00:00,122.1000000
ICE.BRN,D,07/04/11,00:00:00,122.5600000
ICE.BRN,D,08/04/11,00:00:00,126.9000000
ICE.BRN,D,10/04/11,00:00:00,126.2800000
ICE.BRN,D,11/04/11,00:00:00,122.6600000
ICE.BRN,D,12/04/11,00:00:00,120.7000000
ICE.BRN,D,13/04/11,00:00:00,122.6200000
ICE.BRN,D,14/04/11,00:00:00,122.2000000
ICE.BRN,D,15/04/11,00:00:00,123.7300000
ICE.BRN,D,17/04/11,00:00:00,123.5100000
ICE.BRN,D,18/04/11,00:00:00,121.9300000
ICE.BRN,D,19/04/11,00:00:00,121.2900000
ICE.BRN,D,20/04/11,00:00:00,123.9000000
ICE.BRN,D,21/04/11,00:00:00,124.0400000
ICE.BRN,D,24/04/11,00:00:00,124.2300000
ICE.BRN,D,25/04/11,00:00:00,123.5500000
ICE.BRN,D,26/04/11,00:00:00,123.7000000
ICE.BRN,D,27/04/11,00:00:00,125.4700000
ICE.BRN,D,28/04/11,00:00:00,124.5900000
ICE.BRN,D,29/04/11,00:00:00,126.0300000
ICE.BRN,D,01/05/11,00:00:00,125.3900000
ICE.BRN,D,02/05/11,00:00:00,124.5800000
ICE.BRN,D,03/05/11,00:00:00,122.1500000
ICE.BRN,D,04/05/11,00:00:00,120.6400000
ICE.BRN,D,05/05/11,00:00:00,110.7400000
ICE.BRN,D,06/05/11,00:00:00,109.2400000
ICE.BRN,D,08/05/11,00:00:00,109.6500000
ICE.BRN,D,09/05/11,00:00:00,115.5200000
ICE.BRN,D,10/05/11,00:00:00,117.2400000
ICE.BRN,D,11/05/11,00:00:00,112.3000000
ICE.BRN,D,12/05/11,00:00:00,112.3200000
ICE.BRN,D,13/05/11,00:00:00,113.2600000
ICE.BRN,D,15/05/11,00:00:00,112.5700000
ICE.BRN,D,16/05/11,00:00:00,110.3700000
ICE.BRN,D,17/05/11,00:00:00,110.5800000
ICE.BRN,D,18/05/11,00:00:00,112.3000000
ICE.BRN,D,19/05/11,00:00:00,111.4000000
ICE.BRN,D,20/05/11,00:00:00,112.4200000
ICE.BRN,D,22/05/11,00:00:00,111.9000000
ICE.BRN,D,23/05/11,00:00:00,109.9000000
ICE.BRN,D,24/05/11,00:00:00,112.3000000
ICE.BRN,D,25/05/11,00:00:00,115.0000000
ICE.BRN,D,26/05/11,00:00:00,114.9900000
ICE.BRN,D,27/05/11,00:00:00,115.0000000
ICE.BRN,D,30/05/11,00:00:00,114.5400000
ICE.BRN,D,31/05/11,00:00:00,116.6800000
ICE.BRN,D,01/06/11,00:00:00,114.0300000
ICE.BRN,D,02/06/11,00:00:00,115.8900000
ICE.BRN,D,03/06/11,00:00:00,116.0500000
ICE.BRN,D,05/06/11,00:00:00,116.1000000
ICE.BRN,D,06/06/11,00:00:00,114.1900000
ICE.BRN,D,07/06/11,00:00:00,117.0000000
ICE.BRN,D,08/06/11,00:00:00,117.6100000
ICE.BRN,D,09/06/11,00:00:00,119.1000000
ICE.BRN,D,10/06/11,00:00:00,117.9700000
ICE.BRN,D,12/06/11,00:00:00,117.9200000
ICE.BRN,D,13/06/11,00:00:00,118.0800000
ICE.BRN,D,14/06/11,00:00:00,119.1100000
ICE.BRN,D,15/06/11,00:00:00,113.6600000
ICE.BRN,D,16/06/11,00:00:00,114.0200000
ICE.BRN,D,17/06/11,00:00:00,113.2000000
ICE.BRN,D,19/06/11,00:00:00,113.0600000
ICE.BRN,D,20/06/11,00:00:00,111.5800000
ICE.BRN,D,21/06/11,00:00:00,110.7000000
ICE.BRN,D,22/06/11,00:00:00,113.2500000
ICE.BRN,D,23/06/11,00:00:00,108.6100000
ICE.BRN,D,24/06/11,00:00:00,105.6700000
ICE.BRN,D,26/06/11,00:00:00,105.0500000
ICE.BRN,D,27/06/11,00:00:00,106.6700000
ICE.BRN,D,28/06/11,00:00:00,108.8700000
ICE.BRN,D,29/06/11,00:00:00,112.6000000
ICE.BRN,D,30/06/11,00:00:00,111.8000000
ICE.BRN,D,01/07/11,00:00:00,111.2400000
ICE.BRN,D,03/07/11,00:00:00,111.8900000
ICE.BRN,D,04/07/11,00:00:00,111.4500000
ICE.BRN,D,05/07/11,00:00:00,113.8300000
ICE.BRN,D,06/07/11,00:00:00,114.3000000
ICE.BRN,D,07/07/11,00:00:00,118.3000000
ICE.BRN,D,08/07/11,00:00:00,118.3000000
ICE.BRN,D,10/07/11,00:00:00,117.2500000
ICE.BRN,D,11/07/11,00:00:00,116.3700000
ICE.BRN,D,12/07/11,00:00:00,116.0700000
ICE.BRN,D,13/07/11,00:00:00,117.5500000
ICE.BRN,D,14/07/11,00:00:00,116.6000000
ICE.BRN,D,15/07/11,00:00:00,117.6600000
ICE.BRN,D,17/07/11,00:00:00,117.6400000
ICE.BRN,D,18/07/11,00:00:00,116.4000000
ICE.BRN,D,19/07/11,00:00:00,117.3700000
ICE.BRN,D,20/07/11,00:00:00,118.1500000
ICE.BRN,D,21/07/11,00:00:00,117.7800000
ICE.BRN,D,22/07/11,00:00:00,118.5100000
ICE.BRN,D,24/07/11,00:00:00,118.1200000
ICE.BRN,D,25/07/11,00:00:00,117.6300000
ICE.BRN,D,26/07/11,00:00:00,118.0000000
ICE.BRN,D,27/07/11,00:00:00,117.3200000
ICE.BRN,D,28/07/11,00:00:00,117.2100000
ICE.BRN,D,29/07/11,00:00:00,116.8500000
ICE.BRN,D,31/07/11,00:00:00,117.5400000
ICE.BRN,D,01/08/11,00:00:00,116.7400000
ICE.BRN,D,02/08/11,00:00:00,115.9400000
ICE.BRN,D,03/08/11,00:00:00,113.4400000
ICE.BRN,D,04/08/11,00:00:00,107.6600000
ICE.BRN,D,05/08/11,00:00:00,109.8500000
ICE.BRN,D,07/08/11,00:00:00,106.7400000
ICE.BRN,D,08/08/11,00:00:00,103.7800000
ICE.BRN,D,09/08/11,00:00:00,104.4500000
ICE.BRN,D,10/08/11,00:00:00,105.6700000
ICE.BRN,D,11/08/11,00:00:00,107.8500000
ICE.BRN,D,12/08/11,00:00:00,107.5200000
ICE.BRN,D,14/08/11,00:00:00,107.7400000
ICE.BRN,D,15/08/11,00:00:00,109.7800000
ICE.BRN,D,16/08/11,00:00:00,109.5600000
ICE.BRN,D,17/08/11,00:00:00,110.5700000
ICE.BRN,D,18/08/11,00:00:00,106.6900000
ICE.BRN,D,19/08/11,00:00:00,109.2200000
ICE.BRN,D,21/08/11,00:00:00,107.2400000
ICE.BRN,D,22/08/11,00:00:00,108.5000000
ICE.BRN,D,23/08/11,00:00:00,109.7800000
ICE.BRN,D,24/08/11,00:00:00,110.0000000
ICE.BRN,D,25/08/11,00:00:00,110.4800000
ICE.BRN,D,26/08/11,00:00:00,111.2500000
ICE.BRN,D,28/08/11,00:00:00,111.2000000
ICE.BRN,D,29/08/11,00:00:00,112.3100000
ICE.BRN,D,30/08/11,00:00:00,114.0000000
ICE.BRN,D,31/08/11,00:00:00,114.4900000
ICE.BRN,D,01/09/11,00:00:00,114.2000000
ICE.BRN,D,02/09/11,00:00:00,112.5200000
ICE.BRN,D,04/09/11,00:00:00,112.2300000
ICE.BRN,D,05/09/11,00:00:00,110.0800000
ICE.BRN,D,06/09/11,00:00:00,113.3500000
ICE.BRN,D,07/09/11,00:00:00,116.2200000
ICE.BRN,D,08/09/11,00:00:00,114.1000000
ICE.BRN,D,09/09/11,00:00:00,110.5200000
ICE.BRN,D,11/09/11,00:00:00,109.9300000
ICE.BRN,D,12/09/11,00:00:00,110.7400000
ICE.BRN,D,13/09/11,00:00:00,109.5100000
ICE.BRN,D,14/09/11,00:00:00,109.6500000
ICE.BRN,D,15/09/11,00:00:00,112.2500000
ICE.BRN,D,16/09/11,00:00:00,111.9000000
ICE.BRN,D,18/09/11,00:00:00,111.6300000
ICE.BRN,D,19/09/11,00:00:00,109.5500000
ICE.BRN,D,20/09/11,00:00:00,110.3300000
ICE.BRN,D,21/09/11,00:00:00,108.9200000
ICE.BRN,D,22/09/11,00:00:00,105.1900000
ICE.BRN,D,23/09/11,00:00:00,104.3600000
ICE.BRN,D,25/09/11,00:00:00,104.2900000
ICE.BRN,D,26/09/11,00:00:00,104.9400000
ICE.BRN,D,27/09/11,00:00:00,107.1200000
ICE.BRN,D,28/09/11,00:00:00,103.4000000
ICE.BRN,D,29/09/11,00:00:00,104.2600000
ICE.BRN,D,30/09/11,00:00:00,102.1500000
ICE.BRN,D,02/10/11,00:00:00,101.4000000
ICE.BRN,D,03/10/11,00:00:00,100.6900000
ICE.BRN,D,04/10/11,00:00:00,101.9600000
ICE.BRN,D,05/10/11,00:00:00,102.7700000
ICE.BRN,D,06/10/11,00:00:00,105.4000000
ICE.BRN,D,07/10/11,00:00:00,105.9100000
